,1239-5-10-amf,1250-5-10-amf,13-5-10-amf,1387-5-10-amf,522-5-10-amf,672-5-10-amf,717-5-10-amf,856-5-10-amf,98-5-10-amf,1859-5-10-AMF,1601-5-10-AMF,1619-5-10-AMF,1832-5-10-AMF,1850-5-10-AMF,1875-5-10-AMF,1973-5-10-AMF,2355-5-10-AMF,2398-5-10-AMF,2500-5-10-AMF,2537-5-10-AMF,2597-5-10-AMF,2629-5-10-AMF,2893-5-10-AMF,2923-5-10-AMF,2869-5-10-AMF,3239-5-10-AMF,3381-5-10-AMF,3409-5-10-AMF,3667-5-10-AMF,3682-5-10-AMF,3779-5-10-AMF,3907-5-10-AMF,473-5-10-AMF,554-5-10-AMF
ASV2019,0.000560852,0,0,0.000557569,0.003891051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001813984,0,0,0,0.000141044,0,0,0,0,0,0,0,0.001184834,0
ASV938,0,0,0,0,0,0,0,0,0,0,0.002552648,0,0,0,0.00061237,0,0,0,0,0.001085187,0.000659631,0,0.001076426,0,0.001692525,0,0,0,0,0,0,0,0.000473934,0
ASV927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008180536,0,0,0,0,0,0,0,0,0
ASV1106,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000781861,0.00061237,0.000833333,0,0,0.000182582,0,0.000329815,0,0,0.000666001,0.000564175,0.002134016,0,0.002105263,0,0,0,0,0,0
ASV1695,0,0,0,0,0,0,0,0,0.001072961,0.001258917,0.001914486,0,0,0,0.00061237,0,0,0,0,0.001085187,0.000329815,0,0,0.000333,0.000846262,0,0,0,0,0,0.000825764,0,0,0
ASV1156,0,0.008296397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008303677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV3455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008303677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV625,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002866823,0.00183711,0,0,0,0,0,0,0,0,0.001998002,0.000705219,0,0,0.001052632,0,0,0,0,0,0
ASV1877,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008600469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
